Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
20/04/2022,7045529,9,4,0," 75 Lassell St, Greenwich, London SE10 9PJ, UK",4.47452E+13,DMA - ZRIVSE04,51.48473104,0.001691702,5
20/04/2022,7394097,15,8,0," 81 Ashburnham Grove, London SE10 8UJ, UK",8.8236E+14,DMA - ZRIVSE03,51.47561758,-0.016381592,7
20/04/2022,7045619,8,2,0," Rodmere St, London SE10 9GB, UK",3.19701E+12,DMA - ZRIVSE04,51.48572265,0.007182522,6
20/04/2022,7049764,24,7,1," opposite macey house Thames St, London SE10 9DH, UK",4.47924E+11,DMA - ZRIVSE03,51.48230401,-0.0132822,17
20/04/2022,1721274,9,4,0," 13 Crooms Hill Grove, Greenwich, London SE10 8HB, UK",4.47925E+13,DMA - ZRIVSE03,51.47780602,-0.00741899,5
20/04/2022,1721581,9,9,0," 6 Admiral's Gate, London SE10 8JX, UK",4.47925E+13,DMA - ZRIVSE03,51.47344168,-0.015628792,0
20/04/2022,1721303,40,3,1,"271A Creek road Greenwich, London SE10 9BL, UK",3.19701E+12,DMA - ZRIVSE03,51.48146934,-0.010505542,37
20/04/2022,1721899,8,3,0," 1 Thalia Cl, Greenwich, London SE10 9NA, UK",4.47452E+13,DMA - ZRIVSE04,51.48237029,-0.001518338,5
20/04/2022,1721885,31,4,1," 32 Old Woolwich Rd, London SE10 9NY, UK",4.47624E+13,DMA - ZRIVSE04,51.48399266,-0.001732521,27
20/04/2022,1722470,8,3,0," Maze Hill, London SE10, UK",4.47452E+13,DMA - ZRIVSE04,51.48381856,0.00088404,5
20/04/2022,7045687,9,3,0," 101 Maze Hill, London SE10 8XQ, UK",4.47452E+13,DMA - ZRIVSE04,51.48086528,0.003392994,6
20/04/2022,1711090,22,6,1, 62 Greenwich high road se10 8lf,4.47452E+13,DMA - ZRIVSE03,51.47592016,-0.018528029,16
20/04/2022,1720864,14,22,0," 43-53 Trafalgar Rd, London SE10 9TS, UK",4.47452E+13,DMA - ZRIVSE04,51.4835952,-0.000414784,-8
